English_name,sumWeeklyHealthHours,SumPopulation,SumPopulation_CompletedFromExternalData,NumberOfCities_smaller35km,Jewish_precent,Arab_precent,Jewish_Arabs_precent_CompletedFromExternalData,precentPopulation_over20,ClalitPrecent_fromTatal,ClalitPrecent_fromTatal_CompletedFromExternalData,MacabiPrecent_fromTatal,MacabiPrecent_fromTatal_CompletedFromExternalData,MeuhedetPrecent_fromTatal,MeuhedetPrecent_fromTatal_CompletedFromExternalData,LeumitPrecent_fromTatal,LeumitPrecent_fromTatal_CompletedFromExternalData,SocioeconomicStatusֹ,SocioeconomicStatusֹ_CompletedFromExternalData,periphery,Jerusalem_district,North_district,Center_district,Haifa_district,TLV_district,South_district,Clinic_hours_for_1000_people,Clinic_hours_for_1000_people_bigger9
GAN YAVNE,351.4999,24251,0,55,96.6,0,0,68,42.2,0,32.4,0,20.2,0,5.1,0,7,0,0,0,0,1,0,0,0,14.49424354,0
GAN RAVE,28.8331,6585,0,35,97.9,0,0,70.2,52,0,38.4,0,7.1,0,2.5,0,8,0,0,0,0,1,0,0,0,4.378602885,1
GANNE TIQWA,122.3333,22694,0,78,98.4,0,0,71,41,0,47.1,0,5,0,6.9,0,9,0,0,0,0,1,0,0,0,5.390556975,1
JISR AZ-ZARQA,214.5,15315,0,48,0,100,0,55.9,81.7,1,0.2,1,2.2,1,15.9,1,2,1,1,0,0,0,1,0,0,14.00587659,0
DALIYAT AL-KARMEL,388,18061,0,96,0,99.7,0,71.9,49.2,0,9.1,0,19.3,0,22.5,0,5,0,1,0,0,0,1,0,0,21.48275289,0
DABBURYE,321.5,10782,0,75,0,99.9,0,65.5,68,0,12.6,0,16.8,0,2.5,0,4,0,1,0,1,0,0,0,0,29.81821554,0
DEIR AL-ASAD,314.6666,12935,0,74,0,100,0,61,77.9,1,0.5,1,15.1,1,6.5,1,3,1,1,0,1,0,0,0,0,24.32675686,0
DEIR HANNA,140.0833,10599,0,99,0,99.9,0,68.3,70.6,0,0.8,0,9.1,0,19.6,0,4,0,1,0,1,0,0,0,0,13.21665251,0
DIMONA,973.6666,35892,0,21,90.4,0,0,73,67.4,0,27.3,0,0.3,0,4.9,0,5,0,1,0,0,0,0,0,1,27.12767748,0
DROM HASHARON,234.9999,34327,0,58,98.1,0,0,69,57.7,0,33.8,0,5.9,0,2.6,0,9,0,0,0,0,1,0,0,0,6.845920121,1
