expertise_desc,services_type_desc,name
עיניים - רישתית,יועצים ומנתחים,2
עיניים - רישתית,רופאים,128
עיניים ילדים,יועצים ומנתחים,13
עיניים ילדים,רופאים,43
פודיאטריה,מוסדות ומרפאות,18
פודיאטריה,מטפלים,22
פודיאטריה,רופאים,6
פיזיותרפיה,מוסדות ומרפאות,916
פיזיותרפיה,מטפלים,1173
פיזיותרפיה - ילדים,מוסדות ומרפאות,261
פיזיותרפיה - ילדים,מטפלים,338
פנימית,מוסדות ומרפאות,4
פנימית,רופאים,121
פסיכוגריאטריה,רופאים,3
פסיכולוגיה,מוסדות ומרפאות,71
פסיכולוגיה,מטפלים,693
פסיכולוגיה התפתחותית,מוסדות ומרפאות,3
פסיכולוגיה חינוכית,מטפלים,1
פסיכולוגיה ילדים ונוער,מוסדות ומרפאות,137
פסיכולוגיה ילדים ונוער,מטפלים,261
פסיכולוגיה ילדים ונוער,רופאים,6
פסיכולוגיה קלינית,מוסדות ומרפאות,8
פסיכולוגיה קלינית,מטפלים,56
פסיכולוגיה רפואית,מטפלים,14
פסיכולוגיה שיקומית,מוסדות ומרפאות,1
פסיכולוגיה שיקומית,מטפלים,5
פסיכותרפיה,מוסדות ומרפאות,190
פסיכותרפיה,מטפלים,772
פסיכותרפיה,רופאים,37
פסיכיאטריה,יועצים ומנתחים,455
פסיכיאטריה,מוסדות ומרפאות,20
פסיכיאטריה,מטפלים,80
פסיכיאטריה,רופאים,680
פסיכיאטריה של הילד והמתבגר,יועצים ומנתחים,70
פסיכיאטריה של הילד והמתבגר,רופאים,127
פצעים קשי ריפוי,מוסדות ומרפאות,17
פצעים קשי ריפוי,מטפלים,4
פצעים קשי ריפוי,רופאים,22
פרוקטולוגיה,יועצים ומנתחים,13
פרוקטולוגיה,מוסדות ומרפאות,1
פרוקטולוגיה,רופאים,185
קלינאות תקשורת - מכשירי שמיעה,מוסדות ומרפאות,646
קלינאות תקשורת - מכשירי שמיעה,מטפלים,27
